brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
toyota;avanza;mpv;2019;1,854 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;665000
toyota;vios-2017-2018;sedan;2017;8,850 KM;gasoline;dealer;manual;Manila;Orange;448000
toyota;avanza;mpv;2019;2,144 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;665000
toyota;wigo;hatchback;2017;5,900 KM;gasoline;dealer;manual;Manila;Orange;350000
toyota;wigo;hatchback;2017;10,800 KM;gasoline;dealer;manual;Manila;Orange;435000
toyota;vios;sedan;2018;n/a;gasoline;dealer;manual;Manila;Red;535000
toyota;hiace-2015-2018;van;2017;11,800 KM;diesel;dealer;manual;Manila;White;1040000
toyota;wigo;hatchback;2017;n/a;gasoline;dealer;manual;Manila;Silver / Grey;435000
toyota;wigo;hatchback;2017;12,878 KM;gasoline;dealer;manual;Quezon City;Black;320000
toyota;hiace-2015-2018;van;2018;1,956 KM;diesel;dealer;manual;Manila;Black;1599000
toyota;vios;sedan;2017;1,800 KM;gasoline;dealer;manual;Manila;Red;570000
toyota;vios-2017-2018;sedan;2017;6,700 KM;gasoline;dealer;manual;Manila;Red;448000
toyota;vios;sedan;2017;n/a;gasoline;dealer;manual;Manila;Green;640000
toyota;wigo;hatchback;2019;2,006 KM;gasoline;dealer;manual;Quezon City;Black;405000
toyota;vios;sedan;2018;n/a;gasoline;dealer;manual;Manila;Red;550000
toyota;vios-2017-2018;sedan;2017;5,800 KM;gasoline;dealer;manual;Manila;Red;450000
toyota;hiace;van;2018;13,000 KM;gasoline;dealer;manual;Manila;White;1008000
toyota;avanza;mpv;2019;1,264 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;685000
toyota;vios;sedan;2019;7,500 KM;gasoline;dealer;manual;Manila;White;575000
toyota;hiace-2015-2018;van;2017;8,000 KM;diesel;dealer;manual;Manila;White;1030000
toyota;hiace-2015-2018;van;2018;11,500 KM;diesel;dealer;manual;Manila;White;1220000
toyota;innova;mpv;2017;27,000 KM;diesel;dealer;manual;Quezon City;Silver / Grey;950000
toyota;innova;mpv;2017;7,700 KM;gasoline;dealer;manual;Manila;Red;1025000
toyota;hiace-2015-2018;van;2019;n/a;diesel;dealer;manual;Quezon City;Silver / Grey;1195000
mitsubishi;mirage-g4;sedan;2018;8,000 KM;gasoline;dealer;manual;Quezon City;Red;490000
toyota;innova;mpv;2017;1,900 KM;gasoline;dealer;manual;Manila;Black;940000
toyota;wigo;hatchback;2017;11,800 KM;gasoline;dealer;manual;Manila;Silver / Grey;348000
toyota;vios-2017-2018;sedan;2018;n/a;gasoline;dealer;manual;Quezon City;Green;650000
toyota;vios;sedan;2018;1,900 KM;gasoline;dealer;manual;Manila;Orange;535000
toyota;vios-2017-2018;sedan;2018;n/a;gasoline;dealer;manual;Quezon City;Orange;680000
toyota;innova;mpv;2017;1,900 KM;gasoline;dealer;manual;Manila;Red;890000
toyota;wigo;hatchback;2018;10,000 KM;gasoline;dealer;manual;Quezon City;Orange;450000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Red;440000
toyota;wigo;hatchback;2019;2,800 KM;gasoline;dealer;manual;Manila;Silver / Grey;385000
isuzu;d-max;mpv;2017;36,000 KM;diesel;dealer;manual;Makati;White;650000
toyota;wigo;hatchback;2017;5,500 KM;gasoline;dealer;manual;Manila;Silver / Grey;435000
mitsubishi;adventure;mpv;2017;25,000 KM;diesel;dealer;manual;Quezon City;White;695000
toyota;vios-2017-2018;sedan;2017;10,000 KM;gasoline;dealer;manual;Quezon City;Green;610000
hyundai;accent;sedan;2017;84,000 KM;diesel;dealer;manual;Makati;Black;293000
toyota;vios;sedan;2018;24,000 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;578000
toyota;vios-2017-2018;sedan;2017;10,000 KM;gasoline;dealer;manual;Quezon City;Black;600000
toyota;innova;mpv;2018;1,969 KM;diesel;dealer;manual;Quezon City;Purple / Pink;1058000
toyota;avanza;mpv;2018;9,500 KM;gasoline;dealer;manual;Quezon City;Blue;698000
mitsubishi;l300-2000-2010;mpv;2017;24,000 KM;diesel;dealer;manual;Makati;Brown;645000
toyota;wigo;hatchback;2018;24,759 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;375000
toyota;wigo;hatchback;2017;5,000 KM;gasoline;dealer;manual;Manila;White;338000
hyundai;accent;sedan;2018;20,000 KM;diesel;dealer;manual;Makati;Silver / Grey;576000
toyota;vios;sedan;2017;11,000 KM;gasoline;dealer;manual;Quezon City;Orange;458000
toyota;wigo;hatchback;2018;1,900 KM;gasoline;dealer;maunal;Manila;Orange;455000
mitsubishi;strada;pickup-trucks;2017;3,000 KM;diesel;dealer;maunal;Quezon City;White;988000
toyota;wigo;hatchback;2017;8,000 KM;gasoline;dealer;n/a;Manila;Blue;410000
toyota;wigo;hatchback;2019;2,000 KM;gasoline;dealer;n/a;Quezon City;Silver / Grey;448000
toyota;wigo;hatchback;2018;4,800 KM;gasoline;dealer;maunal;Manila;White;455000
toyota;wigo;hatchback;2018;800 KM;gasoline;dealer;maunal;Manila;Red;455000
suzuki;ciaz;sedan;2017;23,000 KM;gasoline;dealer;maunal;Pasig;Silver / Grey;398000
toyota;fortuner;suv;2018;6,800 KM;diesel;dealer;maunal;Manila;White;1540000
toyota;corolla-altis-2016-2018;sedan;2018;3,800 KM;gasoline;dealer;maunal;Manila;Red;755000
foton;view-transvan;van;2017;29,000 KM;diesel;dealer;maunal;Makati;Black;895000
toyota;fortuner-2015;suv;2017;18,000 KM;diesel;dealer;n/a;Quezon City;Black;1055000
toyota;hilux;pickup-trucks;2019;1,900 KM;diesel;dealer;maunal;Manila;White;865000
chevrolet;sail;sedan;2018;25,000 KM;gasoline;dealer;maunal;Makati;Black;375000
toyota;hilux;pickup-trucks;2017;25,000 KM;diesel;dealer;maunal;Manila;White;858000
toyota;hilux;pickup-trucks;2017;25,000 KM;diesel;dealer;maunal;Quezon City;Orange;918000
hyundai;elantra;sedan;2018;7,000 KM;gasoline;dealer;maunal;Makati;Blue;522000
hyundai;elantra;sedan;2018;6,000 KM;gasoline;dealer;maunal;Makati;White;692000
hyundai;elantra;sedan;2018;6,000 KM;gasoline;dealer;maunal;Makati;Blue;511000
toyota;avanza-2015-2018;mpv;2018;13,000 KM;gasoline;dealer;maunal;Manila;Blue;590000
